skillDevelopment,location,reviewText,overallScore,workSatisfaction,jobFunction,companyCulture,postedon,pros,careerGrowth,salaryBenefits,company,cons,workLifeBalance,jobSecurity
5,Bengaluru/Bangalore,"Since my first day at infy, everyone i faced and interacted were cool and friendly people. Domain training, process training and entered to work production each stage was quite different & good. Management encourages in skill development and w",4,4,Senior Process Executive,5,3-Apr-22,"Good corporate culture, team co-ordination is pretty well, responsible management, various chances for learning and development, company policies are quite worthy and many opportunities to improve ourselves and mostly less pressure on work",4,3,Infosys,"Paying salaries are low (Except that, no negative to mention)",4,5
5,Pusad,The job is quite interesting! / Struggled a bit in the beginning as there was no formal training session.I learnt everything on the job.I got a chance to wear multiple hats and that helped me get a taste of different roles within the same team,5,5,Data Entry Jobs,5,21-Feb-22,"Good. Work environment and culture.teammate are supportive and the management is transparent there is a huge cafeteria and gaming arcade for chilling company policies are good, appraisals are fair and they give good salary hike and bonus every year.",5,5,Infosys,There is a lot of politics and the management doesn't address our issues.salary is decent but career growth is slow.there is a bond 2 years before which you cannot resign.On the job training is not given to new joinees,5,5
3,Bangalore,Transactional work at a middle level management,1,1,Process Specialist,1,5-Mar-22,Job security for the mediocre and low performers because all talented people have moved out of this company..,1,1,Infosys,"Let us begin with reporting managers - extremely alpha, will go to any extent to ensure you are looked down upon and in case you are more capable than them, you will surely be made as a laughing stock. 'If they cannot control a person, they make them a laughing stock'. The employees at job level 5 and 6 have a sick narcissist mentality. I believe it is better you never join this company. Salary - They will do what it takes so that you are kept starved throughout your employment. Starving soldiers seldom revolt - rather they do not have the energy to fight back. I personally know of employees here, who are begging, borrowing to make ends meet.",1,3
5,Hyderabad/Secunderabad,The job is quite interesting! I Struggled a bit in the beginning as there was no formal training session. I learnt everything on the job. I got a chance to wear multiple hats and that helped me get a tastee of different roles within the same team.,5,5,Project Manager,5,2-Feb-22,"Good work environment and culture. Teammates are supportive and the management is transparent.There is a huge cafeteria and gaming arcade for chilling.Company policies are good, appraisals are fair and they give good salary hike and bonus every yeear.",5,5,Infosys,There is a lot of politics and the management doesn't address our issues. There is a bond but career growth is slow. There is a bond of 2 years before which you cannot resign. On the job training is not given to new joiness.,5,5
5,Bhubaneswar,"My work is in Java development with Spring boot, Rest and Microservices. I build applications and deploy in cloud platform. Responsible for unit testing, writing Junit testcases and defect fixes.",3,3,Technology Analyst,4,8-Dec-21,"Infosys has good job security. Employees can reskill and upskill anytime, various internal and external certifications are provided by the company. Growth depends on the manager you are working under. Some projects have good onsite opportunity if you are good at your work and work hours are flexible.",3,2,Infosys,"The management should be transparent with the decisions they make for the employees and the team working under a manager. I dislike that if a person is working under a project for couple of years and if he/she decides to shift to another project that opportunity is negligible if not you are applying IJP or any of the Bridge programs. Work life balance depends upon the project you are working, I would say average as sometimes you have too many work and sometimes pressure is low. Salary and perks are very poor, they need to re think on the paying an employee what he/she deserves or else attrition rate will keep increasing.",3,4
4,,good work life balance in development projects.,4,4,Technology Lead for 8 years in Bengaluru/Bangalore,5,12-Feb-22,"It's been 8 years I am part of Infosys. I joined infosys as a freshers. Initial 3 years I worked in rotational shifts. Later I was assigned to a development project. I got a very good work life balance there. Manager was very good and supportive. Infosys has many bridge programs where you can switch projects, get role change after writing the exams. Managers can't force you to stay in the project if you clear those exams. Policies are good. Only one con I can see is the less pay structure. But for me that was not that much bad. I have reached to 11 LPA salary marks within 7.5 years.",4,3,Infosys,Less pay structure,5,4
4,Bengaluru/Bangalore,"Infosys offers good training initially. On the job trainings, training portels, mentors etc are all available. You can train yourself, get certificates. Onsite opportunities are rare now unless you put your papers.",4,3,Technology Lead,4,2-Feb-22,"Good work environment and culture. Good colleagues, most of them. Extraordinary facilities at every DC.",3,2,Infosys,"You have all the facilities, yet no time to use them. You do a lot of work and learn a lot but, compensation sucks. No clear path laid for employee growth, if you stay long enough, they'll put you in totally unrelated technology and domains. Onsite opportunities are rare and null when you ask for it but as soon as someone puts paper Onsite appears. Compensation hikes are a joke to this company. Again if you put papers, they offer you hikes. Don't know whether they keep their word or not.",3,5
5,Bengaluru/Bangalore,At the starting of my career it was very amazing. I was enjoying my work. There were very less work load and I was learnew things everyday. After the pandemic things started geting tchanged. The work load increased. Hikes are less.,4,4,Senior System Engineer,3,15-Nov-21,I started my corporate career from Infosys as a fresher. For freshers it is good platform to start and build your career but at the same time you are not allowed to select your skill set. The TPD will place you in the respective units according to the requirement. They might put in a tool based support project also. It is your luck if you get a good development project in a demanding skill set. But you will get enough learning opportunities to build your career. The salary will be average for you if you are joining as a fresher. The work life balance became pathetic during the pandemic. There is very less hike and benefits are also less.,4,2,Infosys,Less salary. Low hikes. Less benefits. Pathetic work life balance.,3,5
3,,worked in US/ UK/Australia project Finance and healthcare domain Dev and maintenance application Team Lead or individual role Mentor team members Deliver on time even required to work on weekend Taking interview full day on w,3,3,Technical Lead for 3.9 years in Pune,4,20-Apr-22,Job security work life balance 9/10 times Campus Infra Leave Policy and weekend work policy,3,1,Infosys,"no hike since last two year with excuse you are on higher side less experience lateral getting lot more offers, not with half experience Compensation and its variable part Growth Opportunity skilltag not working properly",4,4
4,Hyderabad/Secunderabad,"As big campus is there, we can get good natural environment. There are plenty of trainings offered in various skills to upgrade. Facilities are there but with extra cost.",3,2,Technology Lead,3,13-Mar-22,I like Campus and learning various skills.,3,2,Infosys,"There is no project allocation based on skills. Wherever requirement is there, they allocate irrespective of skills matching or not. Performance assessment is not transparent. Managers give performance rating not based on true performance. They never give hike and even performance bonus which is part of salary is given Max 70%",3,3
4,Banglore,Work life is good but sometimes we have faced the pressure from top management and also from HR to work in Saturday and Sunday as well that too in night shift's and stretching of hours also we have faced,5,5,Account Assistant,3,9-Nov-21,As a fresher I have joined Infosys bpm and it was very good memories and I got exposure to alot and learned many things in short time .Here we have 100 % job security and here we will definitely get a good amount of knowledge and the way they provide the KT is outstanding and we can learn many things and also we will get a stage to showcases our talent everyday. and working in office is literally professional and with lot of hidden competition as well and for sure we can develop our skills in infy and no doubt we will learn the corporate ethics and campus is so good and these kind of campus we can't see anywhere in Bangalore or in Karnataka.,3,3,Infosys,"Sometimes the management will force us to do the work even in Saturday and sometimes we have stretched our working hours in night shifts and the management will not properly explains the benefit of taking the assessment such as ileap T101 . T105 and other need to pay for cabs and no snacks are provided in night shifts and seriously night shift allowances in Infy is very very low and mainly the TIG team will not support us if we face any technical issue in system, Sometimes we need to chase them to get it resolved and we did not want to team out for dinner or any where and also during the covid time WFH they haven't provided any benefits such as reimbursement for furniture set up and no house allowances",3,5
4,Pune,"Initially i was not on a managed services project which created a lot of stressful environment as i reported to client manager directly. Luckily, that project ended after 2 years. The next project was very good. I got to learn multiple skillse",3,4,Senior Consultant - Infrastructure Management,4,15-Apr-22,Infosys offers good job security. It is well known for onsite opportunities. Great work life balance with low workload (Although this may be different based on projects). You will get opportunities to learn new skills. Infosys has a great learning portal called Lex.,2,2,Infosys,1. Annual hikes are very low just like any other service based org. 2. It is almost impossible to switch projects once you are allocated. 3. A lot of such policies may hinder your personal growth to a huge extent.,5,5
1,Guntur,"Generally speaking, my work is slightly challenging as I have to look after the entire product marketing and distribution life cycle as well as manage day-to-day yield operations. pitching for my company as a marketer gets tiring and the task is slightly",1,1,Computer Operator,1,13-Mar-22,"The company is open to innovation and readily adopts latest technology. I love the fact that I am a part of a team that markets reliable, high-quality products and has a global client base. As a result, I get to travel abroad, especially to the US an Canada. But on-site travel is completely dependent on your project and client location. mine is a US base client and they have some offices in and we work happily in collaboration. I also like the employee re-hire policy here.",1,1,Infosys,"compensation is decent, but growth is slow. the work pressure is very high. sometimes, I have to work 14-18 hours straight in a day as I have to attend client calls in the evening and sometimes late into the night. managers do not value an individuals unique strengths, which is why I have to take back my suggestions most of the times. i do receive appreciation emails from client but they mostly go unnoticed during my mid-year appraisals. also there is no on-job training for freshers, hence senior folks like me have to guide them step-by-step, which is a pain sometimes",1,1
5,Jaipur,Work life is balanced but some time very stressful.,4,3,Senior Process Executive Data,4,7-Apr-22,Job security is very high. No need to worry about that untill you commit any mistake from your side. Work culture is moderate. Shift timings is not flexible. You have to work either in day or night shift strictly. Management is not good but not bad also. If you obey all orders of superiors it's fine but if you disagree to any of the orders then it can create some problems. Company policies are very vast but not complicated. Overall it's good and employees centered.,5,3,Infosys,"Span of management is not good. If you want to raise some issues regarding your seniors then confidentiality is less somewhere and always fear to out your problems. Regarding transportation, boundries of transport is not vast. Always spread right side on the road but not left side. It is very ridiculous. My night shift was over on 2.45 night and cab drop me before half of the km from my home. It was not safe. i discuss this issue with my senior manager but he denied to any support.",4,5
4,Chennai,Good bad and ugly Good- learning Bad- no perks/benefits Ugly- no work life balance and long hours,3,3,System Engineer,3,22-Mar-22,"Learning growth is good , learnt a lot about java, spring and other things while working in a team with good and helpful colleagues.",3,2,Infosys,"Work life balance is so bad , I remember experiencing so much stress before MVP release of our application , we were expected to give our updates twice a day, once in the morning and once in the evening( which in my opinion should be taken only once a day or atleast every 2-3 days from what I have heard from my friends from other companies) and we were also expected to complete a task in 1 day and new tasks were assigned every day which was ridiculous for a fresher (as it was difficult to gather the requirements and work on it and finish it in one day). Please improve upon it and be gentle about task management and time management. Also the salary is quite low for the amount of work we put in. And there are literally no benefits or perks except a 500 inr zomato/swiggy coupon every 6 months!",2,4
4,Chennai,"As a consultant, I am involved improving operational efficiency for the Client; and contribute to consulting practice initiatives like RFPs, creating models, assist in business assessments, Client pitches, solution prot",4,4,Management Consultant,4,20-Apr-22,"The work culture is good with immense learning opportunities. Onsite opportunities are many. The work is good ranging from strategic advise , improving operational efficiencies to business analysis / assessments etc. Superiors are kind enough to guide you while expecting an exemplary performance.",4,2,Infosys,"Compensation and benefits can be improved, other factors such as trainings, job security, career growth, travel, work-life balance are manageable/acceptable. Work-life balance is dependent on the Client work and other activities that you are free to take up based on your bandwidth.",3,4
4,Bengaluru/Bangalore,Depends on the project assigned. In general good.,3,3,Technology Analyst,4,23-Mar-22,Great infrastructure. Job security. Good learning platform. Work life balance. Great campus. Good for people till 3-4 years of exp. Total.,3,2,Infosys,"Poor compensation, hike and promotion process. Less slot for promotion makes it political as your career advances in Infosys. You need to do extra work(nothing related to technology) besides your own work just to be elegible for promotion for TL and onwards. Hands-on experience on new technologies(if u want to re-skill and work with new technology) will be upto fate/luck. It difficult nyo get released from existing project and join new one. Although the process is there for internal project switch, many terms and conditions apply. Too much process involved in each step due to employee-strength of infosys, which makes the company difficult to provide similar compensation to senior staff as compared to other companies.",4,5
3,CHENNAI,,3,2,Test Engineer,2,18-Jul-21,Job Security will be decided based on your relationship with your manager Horrible work culture. People will respond to your emails and pings only if your designation is Lead and above. Even if you are close to 5 years experience they will treat you as fresher. Will pull you into multiple tasks at the same time. Leads and Managers wont lead the team from front. Will push the team to front and play safe game.,2,3,Infosys,"Asking status is the only job done by Managers and Leads. They wont give KT and clear doubts but will assign you tasks which even they are not clear with. We need to run behind people who wont reply your emails and pings. Company runs on We-They concept. Zero Team collaboration. No one will help you but everyone wants you to work on their task. Wont care about employee's personal life. Zero work life balance during covid WFH. Even if you work for 14 hrs it wont be enough for them. Blame game will be there. If there is appreciation it will be looted by Leads, Managers. If something went wrong they will blame people with comparitively lesser experience. They wont promote you to Analyst. I can see Analysts with 12+ years experience also. If you are from infosys and have 4+ exp you will be promoted to analyst. No learning from team. Set of 12+ exp people are there ruining the work culture. They will simply assign tasks. Wont help and enable the work. Simply wants us to do A to Z. They wont even join scrum calls, grooming calls with PO. Multiple heads will be there. Lead will assign task. Project Manager will assign task. Test Manager will assign task. Senior Technical Manager will assign task. People will jump without following hierarchy and assign task. Every guy wants their work to be completed. Wont care about employee. Zero effort estimation. If one scapegoat does good job they will assign you more work as granted. Oneliner ----Work untill you die or play cunning wolf game if you are smart enough.",1,3
4,,"I was the Principal Consultant at Infosys Ltd, handling the Infrastructure Operations at ITD CPC, Bengaluru Office. I really loved to be associated with Infosys on long term. But, the hikes very poor and nobody cared however well I performed.",4,1,Principal Consultant- Infrastructure & Managed Services (IT) for 4.1 years in Bengaluru/Bangalore,2,21-Apr-22,"Company policies, BLR Campus, Corporate Management, Job security etc.",1,1,Infosys,1. Performance is not monetarily compensated. 2. Many JL7 Managers are not that efficient and they act whimsically. 3. I have seen many Managers in IBU who hardly work but get good hikes and promotions just by maintaining good rapport with senior managers. 4. JL6 Managers are almost powerless. 5. HR simply follows the top management and they absolutely can't help the employee if he/she raises a concern. 6. People are JL2-JL5 are underpaid in comparison to the industry standards,3,4
